Designator,Mid X,Mid Y,Layer,Rotation
C3,55.88,34.29,Top,0.0
C4,55.88,30.48,Top,0.0
C5,45.72,31.75,Top,180.0
C6,43.18,33.66,Top,90.0
C7,50.80,34.42,Top,90.0
C8,46.99,44.45,Top,180.0
C9,46.99,42.55,Top,180.0
C10,17.78,37.47,Top,270.0
C11,15.24,37.47,Top,270.0
C12,12.70,37.47,Top,270.0
C13,50.80, 9.53,Top,270.0
C14,54.61, 9.53,Top,270.0
C15,45.72,11.43,Top,180.0
C16,43.18,13.34,Top,90.0
C17,50.80,13.97,Top,90.0
C18,46.99,24.13,Top,180.0
C19,46.99,22.23,Top,180.0
C20,17.78,26.04,Top,90.0
C21,15.24,26.04,Top,90.0
C22,12.70,26.04,Top,90.0
C23,23.88,10.16,Top,180.0
C24,31.12, 9.53,Top,90.0
C25,74.30,34.29,Top,180.0
C26,24.77, 8.26,Top,180.0
C27,19.69, 6.35,Top,0.0
C28,19.69, 8.89,Top,0.0
C29,19.69,11.43,Top,0.0
C30,26.67, 4.45,Top,90.0
C31,75.56,24.13,Top,180.0
C32,70.48,19.69,Top,90.0
C33,66.67,18.41,Top,270.0
C34,64.77,18.41,Top,270.0
C35,55.88,26.67,Top,0.0
C36,55.88,22.86,Top,0.0
C37,55.88,19.05,Top,0.0
C38,55.88,15.24,Top,0.0
C39,70.48,16.51,Top,90.0
C40,61.85,40.01,Top,90.0
C41,61.60,34.29,Top,0.0
CN1,82.18,40.00,Top,90.0
D1,38.10,38.10,Top,270.0
D2,38.10,25.40,Top,90.0
D3,68.58,46.36,Top,180.0
L1,26.67,41.27,Top,180.0
L2,26.67,22.23,Top,180.0
L3,36.83, 9.53,Top,90.0
Q1,59.69,47.62,Top,0.0
Q2,68.96,43.56,Top,90.0
R1,50.16,46.36,Top,0.0
R2A,46.99,48.26,Top,0.0
R2B,46.99,46.36,Top,0.0
R3,49.53,43.82,Top,90.0
R4,50.16,26.04,Top,0.0
R5A,46.99,27.94,Top,0.0
R5B,46.99,26.04,Top,0.0
R6,49.53,23.50,Top,90.0
R7A,26.67,12.70,Top,90.0
R7B,24.77,12.70,Top,90.0
R8,28.58,12.70,Top,90.0
R9,66.04,48.90,Top,90.0
R10,66.04,45.72,Top,270.0
R11,76.20,32.38,Top,0.0
R12,68.58,26.04,Top,0.0
R13,68.58,27.94,Top,0.0
R14,64.77,42.55,Top,180.0
R15,74.93,44.45,Top,0.0
R16,77.47,13.34,Top,0.0
R17,77.47,11.43,Top,0.0
R18,74.30,41.91,Top,270.0
R19,77.47,15.24,Top,180.0
R20,68.58,24.13,Top,0.0
R21,60.96,36.83,Top,270.0
R22,68.58,16.51,Top,90.0
RS,54.61,40.64,Top,270.0
U1,46.99,36.83,Top,0.0
U2,46.99,16.51,Top,0.0
U3,27.94, 8.89,Top,0.0
U4,73.66,37.47,Top,180.0
U5,74.68,20.32,Top,180.0
U6,63.50,24.13,Top,0.0
U7,59.05,40.64,Top,180.0
